id;charaName;unitName;rarity;weapon;element;hp;mp;atk;def;crit;swordSkills;battleSkills;specialSkills;upgradedStats
0;Nobunaga;[Master Assistant];6;Sword;Water;13343;271;4073;2618;3045;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Dynamic Screentone Cut;;;
0;Yoshitsugu;[Dual Pen Cartoonist];6;Sword;Dark;13623;271;4056;2520;3144;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Starburst Stream Pen;;;
11001;Kirito;;1;Sword;Void;4670;118;1129;905;1049;SS1: Rage Spike|SS2: Vertical Arc|SS3: Atk. +3%;;;
12001;Kirito;[Former Beta Tester];2;Sword;Void;6390;132;1548;1236;1435;SS1: Sonic Leap|SS2: Vertical Arc;;;
12002;Klein;;2;Sword;Void;6262;132;1578;1211;1465;SS1: Tsujikaze|SS2: Savage Fulcrum|SS3: Atk. +3%;BS1: Crit. +3%;;
12003;Diavel;;2;Sword;Void;6485;125;1509;1261;1413;SS1: Sonic Leap|SS2: Savage Fulcrum|SS3: HP +3%;BS1: Def +3%;;
12004;Corvatz;;2;Sword;Void;6613;125;1494;1249;1377;SS1: Rage Spike|SS2: Savage Fulcrum|SS3: Crit. +3%;BS1: MP +3%;;
12005;Thinker;;2;Sword;Void;6357;125;1563;1242;1420;SS1: Rage Spike|SS2: Horizontal Square;;;
12006;Sigurd;;2;Sword;Wind;6453;125;1555;1230;1407;SS1: Rage Spike|SS2: Vertical Arc|SS3: Crit. +3%;BS1: Atk. +3%;;
13001;Kirito;[Spriggan];3;Sword;Dark;8803;168;2155;1688;1977;SS1: Rage Spike|SS2: Vertical Arc|SS3: Horizontal Square;BS1: HP +3%|BS2: Atk. +6%;;
13002;Kirito;[Solo];3;Sword;Void;8891;168;2113;1706;1957;SS1: Rage Spike|SS2: Vertical Arc|SS3: Horizontal Square;BS1: MP +3%|BS2: Crit. +6%;;
13003;Klein;[Katana Master];3;Sword;Void;8538;175;2188;1672;2017;SS1: Tsujikaze|SS2: Vertical Arc|SS3: Horizontal Square;BS1: Atk. +3%|BS2: Crit. +6%;;
13004;Klein;[Salamander Samurai];3;Sword;Fire;8627;175;2176;1662;2007;SS1: Tsujikaze|SS2: Vertical Arc|SS3: Savage Fulcrum;BS1: Crit. +3%|BS2: Atk. +6%;;
13005;Sumeragi;;3;Sword;Water;8407;168;2220;1713;2056;SS1: Tsujikaze|SS2: Vertical Arc|SS3: Savage Fulcrum;BS1: HP +3%|BS2: Crit. +6%;;
13006;Heathcliff;[Guild Commander];3;Sword;Holy;9066;159;2081;1783;1947;SS1: Sonic Leap|SS2: Horizontal Square|SS3: Savage Fulcrum;BS1: HP +3%|BS2: Def +6%;;
